Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Tanglish Sentence,Previous Chat(Context),Ambiguous Word,Tamil Candidates,Context Meaning,Correct Tamil Output,Normalized_Tanglish,Normalized_Context,Combined
mudi vettikuren,haircut poga poren,mudi,முடி / மூடி / மொடி,hair,முடி,mudi vettikuren,haircut poga poren,haircut poga poren mudi vettikuren
moodi vechirukuren,container ah close panren,moodi,முடி / மூடி / மொடி,"lid,cap",மூடி,moodi vechirukuren,container ah close panren,container ah close panren moodi vechirukuren
modi potturukku,jewellery wear panniruken,modi,முடி / மூடி / மொடி,bud/bracelet,மொடி,modi potturukku,jewellery wear panniruken,jewellery wear panniruken modi potturukku
palam venum,strong aaganum,palam,பலம் / பாலம் / பழம்,strength,பலம்,palam venum,strong aaganum,strong aaganum palam venum
paalam katturaanga,river cross panna,paalam,பலம் / பாலம் / பழம்,bridge,பாலம்,paalam katturaanga,river cross panna,river cross panna paalam katturaanga
palam saapiduren,fruit tinren,palam,பலம் / பாலம் / பழம்,fruit ,பழம்,palam saapiduren,fruit tinren,fruit tinren palam saapiduren
kalai neram vandhаchu,morning ah solraangak,kalai,காலை / கலை,morning,காலை,kalai neram vandhаchu,morning ah solraangak,morning ah solraangak kalai neram vandhаchu
kalai padam pudhusu,drawing pathi pesuraanga,kalai,காலை / கலை,art,கலை,kalai padam pudhusu,drawing pathi pesuraanga,drawing pathi pesuraanga kalai padam pudhusu
ponga veetuku,cooker la rice iruku,ponga,போங்க / பொங்க,go,போங்க,ponga veetuku,cooker la rice iruku,cooker la rice iruku ponga veetuku
ponga inga vaanga,people leave panraanga,ponga,போங்க / பொங்க,overflow,பொங்க,ponga inga vaanga,people leave panraanga,people leave panraanga ponga inga vaanga
pani neram,snow vandhuruchu,pani,பனி / பணி,dew/snow,பனி,pani neram,snow vandhuruchu,snow vandhuruchu pani neram
pani seiyavendi iruku,work pending,pani,பனி / பணி,work,பணி,pani seiyavendi iruku,work pending,work pending pani seiyavendi iruku
